No.,종목명,기준,시장,자산총계,자본금,자본총계,매출액,영업이익,순이익
578,우진아이엔에스,202312,유,113495,3811,95626,100169,-3254,1936
579,태양금속,202312,유,399243,20000,115600,374483,18728,1926
580,유엔젤,202312,유,61815,6598,53421,36061,-1546,1777
581,한국앤컴퍼니,202312,유,3119698,47468,2629080,828618,110203,1750
582,풀무원,202312,유,593547,21078,394666,126032,24639,1668
583,일신석재,202312,유,98302,38728,56969,101237,4606,1662
584,한진,202312,유,3137795,74738,1453877,2399737,40336,1575
585,태경산업,202312,유,215375,14614,171295,142463,-4218,1508
586,형지엘리트,202306,유,120679,15577,65923,92857,2046,1499
587,STX그린로지스,202312,유,73934,17928,30439,28310,1847,1437
588,일진하이솔루스,202312,유,338353,18157,315904,78740,-9799,1409
589,조광페인트,202312,유,373987,6400,181180,246527,9446,1329
590,한성기업,202312,유,230810,31048,51404,320600,8069,1221
591,신일전자,202312,유,126134,35524,82245,184300,2010,1057
592,유니드비티플러스,202312,유,219885,10611,191892,168786,-4072,862
593,보락,202312,유,57928,11980,48779,46774,506,858
594,화천기계,202312,유,167518,11000,137562,161884,-3038,768
595,상상인증권,202312,유,2173316,109641,234470,54133,949,733
596,에스엠벡셀,202312,유,103271,55626,66524,202721,9483,698
597,이구산업,202312,유,313892,16721,125926,433373,10213,656
598,조흥,202312,유,380371,3000,150677,407517,15179,656
599,동양피스톤,202312,유,282887,6584,99935,351042,6882,653
600,SG세계물산,202312,유,303892,101212,248578,124712,1918,647
601,부산산업,202312,유,90769,5280,73617,26782,636,628
602,하이스틸,202312,유,266197,10096,149261,255265,2567,592
603,유수홀딩스,202312,유,257553,65105,248478,9831,1988,508
604,우성,202312,유,180425,15450,156649,46475,-534,329
605,대우부품,202312,유,94593,24650,27894,113444,2038,230
606,광전자,202312,유,250448,28972,230415,122118,-3943,204
607,SHD,202312,유,84766,6074,51265,106294,673,110
608,WISCOM,202312,유,121037,7663,110332,103257,-2443,49
609,계양전기,202312,유,220261,14196,117535,376949,-3690,33
610,태원물산,202312,유,37387,3800,28961,9212,-811,-82
611,조일알미늄,202312,유,390898,63316,191385,465784,8473,-134
612,한일철강,202312,유,320522,13349,167526,201085,4140,-288
613,한화엔진,202312,유,1136858,71544,224148,854384,8729,-426
614,강남제비스코,202312,유,461384,6500,268871,319252,-9045,-433
615,서울식품,202312,유,70815,37698,26725,64785,587,-573
616,삼일씨엔에스,202312,유,347900,12732,266398,194405,-1652,-644
617,알루코,202312,유,431800,48228,240442,304316,1748,-823
618,주성코퍼레이션,202312,유,33268,26405,22985,21784,-1142,-824
619,JW홀딩스,202312,유,404669,36254,193544,87308,15214,-973
620,삼일제약,202312,유,344907,7613,121586,196346,11401,-1097
621,마니커,202312,유,156109,31756,47177,339613,2435,-1276
622,일정실업,202312,유,30147,6000,5842,32209,-721,-1524
623,세기상사,202312,유,50999,2779,27056,31329,-816,-1559
624,와이투솔루션,202312,유,122233,91436,101595,136562,3519,-1585
625,인디에프,202312,유,115418,37556,39441,126174,-2680,-1636
626,PI첨단소재,202312,유,517946,14683,314919,217639,-3938,-1796
627,한국카본,202312,유,784322,25954,465854,573012,25122,-1892
628,이화산업,202312,유,94506,14000,69099,37708,-1907,-2052
629,동성제약,202312,유,114973,26101,39802,88594,596,-2074
630,한신기계,202312,유,112693,16223,94541,57002,-7451,-2074
631,청호ICT,202312,유,51118,21669,40054,20757,457,-2081
632,한독,202312,유,838744,6882,388572,518002,13876,-2151
633,한세엠케이,202312,유,241607,15053,87860,254632,2876,-2168
634,진양화학,202312,유,49908,7900,32568,28281,-2147,-2171
635,성문전자,202312,유,50654,11530,31891,21699,-846,-2529
636,사조산업,202312,유,551122,25000,310458,470904,-5752,-2627
637,유성기업,202312,유,279864,12974,194840,310002,-15806,-2870
638,영풍제지,202312,유,197976,24398,123006,78585,-1516,-2882
639,이스타코,202312,유,79504,21426,42383,13271,-1661,-2922
640,동양고속,202312,유,167981,16959,68706,119769,-163,-3081
641,동일제강,202312,유,179232,10150,153236,180813,-2913,-3160
642,금비,202309,유,158174,5000,79513,91558,-2729,-3174
643,SH에너지화학,202312,유,118105,55740,87909,130237,-4639,-3288
644,보해양조,202312,유,143301,69573,80014,93085,-2804,-3795
645,영진약품,202312,유,226601,91446,89632,234902,3117,-3876
646,경방,202312,유,1124300,13708,752091,271011,35802,-3939
647,일동홀딩스,202312,유,303116,11540,187840,18238,1105,-4009
648,방림,202309,유,219767,21157,192932,83402,59,-4137
649,대한방직,202312,유,176051,5300,127397,139067,-2676,-4284
650,동양철관,202312,유,188999,59454,82257,224965,-812,-4317
651,LS에코에너지,202312,유,279359,15312,277946,5134,3090,-4325
652,주연테크,202312,유,45843,11840,37034,43505,-4656,-4437
653,명문제약,202312,유,187934,16977,83470,143718,1811,-4517
654,모나미,202312,유,144315,18897,74185,102447,228,-4541
